timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
2952400,2952381,1114122,0.35534924,0.033262596,-0.05446943,37.625,0,0
3047963,3047943,1114122,0.35469195,0.033557374,-0.05506694,37.625,0,0
3152955,3152924,1114122,0.35551363,0.033188894,-0.05395728,37.625,0,0
3352450,3352431,1114122,0.35477412,0.03385217,-0.055835173,37.75,0,0
3552996,3552974,1114122,0.35502064,0.033188894,-0.0547255,37.625,0,0
3754165,3754146,1114122,0.35551363,0.03304149,-0.056774113,37.75,0,0
3848047,3848027,1114122,0.35576007,0.032451913,-0.055835173,37.625,0,0
3953047,3953028,1114122,0.35534924,0.032525603,-0.055493735,37.75,0,0
4049293,4049266,1114122,0.35518494,0.033188894,-0.055664454,37.625,0,0
4354443,4354421,1114122,0.35378814,0.03363108,-0.056688756,37.625,0,0
4754616,4754594,1114122,0.35493842,0.03370478,-0.056859475,37.875,0,0
4849740,4849720,1114122,0.35592446,0.033188894,-0.056347318,37.875,0,0
4954756,4954729,1114122,0.35559577,0.033483688,-0.055835173,37.875,0,0
5155305,5155279,1114122,0.35551363,0.03370478,-0.05788378,37.75,0,0
5449873,5449854,1114122,0.35567793,0.033778466,-0.056859475,37.75,0,0
5554906,5554886,1114122,0.35510278,0.03363108,-0.056774113,37.75,0,0
5648799,5648779,1114122,0.35617092,0.032525603,-0.055835173,37.75,0,0
5850392,5850372,1114122,0.35502064,0.033557374,-0.055920526,37.875,0,0
5955128,5955108,1114122,0.35444543,0.03363108,-0.054640148,37.75,0,0
6155333,6155307,1114122,0.35485625,0.034368057,-0.056091245,37.875,0,0
6451013,6450983,1114122,0.35510278,0.033483688,-0.05711555,38.0,0,0
6556001,6555976,1114122,0.35493842,0.033409987,-0.05728627,37.875,0,0
6651546,6651527,1114122,0.35444543,0.032451913,-0.056518037,37.875,0,0
6946597,6946578,1114122,0.35518494,0.033409987,-0.058139857,37.875,0,0
7051596,7051577,1114122,0.35419896,0.032820396,-0.05745699,37.875,0,0
7156606,7156576,1114122,0.35362384,0.032525603,-0.057200912,37.875,0,0
7450739,7450716,1114122,0.35576007,0.033188894,-0.055749808,37.875,0,0
7748370,7748347,1114122,0.35477412,0.031936027,-0.05523766,37.75,0,0
7853421,7853401,1114122,0.35510278,0.033483688,-0.05600589,37.875,0,0
7948464,7948444,1114122,0.35567793,0.033925872,-0.056432683,37.875,0,0
8148842,8148822,1114122,0.3538703,0.03473655,-0.057030194,37.875,0,0
8253843,8253823,1114122,0.35493842,0.033778466,-0.056944832,37.875,0,0
8453642,8453623,1114122,0.35452765,0.033409987,-0.055835173,37.75,0,0
8756793,8756770,1114122,0.35428113,0.033483688,-0.05848129,37.875,0,0
8956412,8956392,1114122,0.3540346,0.034220666,-0.055835173,37.875,0,0
9156884,9156865,1114122,0.35452765,0.034146965,-0.056859475,38.0,0,0
9356617,9356597,1114122,0.35436326,0.034441758,-0.056688756,38.0,0,0
9451570,9451548,1114122,0.35477412,0.03466285,-0.056859475,38.0,0,0
9556630,9556608,1114122,0.35502064,0.03370478,-0.058139857,38.0,0,0
9651684,9651664,1114122,0.35551363,0.03385217,-0.056688756,38.0,0,0
9849844,9849824,1114122,0.35567793,0.03363108,-0.05822522,38.0,0,0
9954849,9954830,1114122,0.3554314,0.03304149,-0.05882273,38.0,0,0
10249447,10249428,1114122,0.35493842,0.032599304,-0.058310572,37.75,0,0
10354890,10354870,1114122,0.3552671,0.03304149,-0.056603402,37.75,0,0
11049710,11049691,1114122,0.35518494,0.034368057,-0.056603402,38.0,0,0
11248471,11248446,1114122,0.35518494,0.03370478,-0.057969138,38.0,0,0
11354893,11354870,1114122,0.35518494,0.033188894,-0.05745699,38.0,0,0
11755591,11755571,1114122,0.35534924,0.03363108,-0.056688756,38.0,0,0
11958277,11958249,1114122,0.35469195,0.03473655,-0.057969138,38.125,0,0
12150186,12150156,1114122,0.35493842,0.033778466,-0.057627708,38.0,0,0
12255259,12255237,1114122,0.35444543,0.033188894,-0.056091245,38.0,0,0
12455942,12455922,1114122,0.35428113,0.035105035,-0.055664454,38.0,0,0
12955517,12955498,1114122,0.35576007,0.03385217,-0.05600589,38.0,0,0
13049195,13049176,1114122,0.3546098,0.03311519,-0.056091245,38.0,0,0
13154208,13154178,1114122,0.35493842,0.033409987,-0.056347318,38.0,0,0
13450730,13450710,1114122,0.3554314,0.033778466,-0.056261964,38.125,0,0
13849306,13849276,1114122,0.35493842,0.03311519,-0.056432683,38.0,0,0
13956016,13955996,1114122,0.35493842,0.03363108,-0.056261964,38.0,0,0
14051051,14051031,1114122,0.35584223,0.034441758,-0.056518037,38.0,0,0
14156959,14156937,1114122,0.35608876,0.03363108,-0.057200912,38.125,0,0
14253646,14253626,1114122,0.35411683,0.035326127,-0.056859475,38.125,0,0
14348770,14348745,1114122,0.35428113,0.033557374,-0.05856665,38.125,0,0
14453722,14453702,1114122,0.35551363,0.034368057,-0.057627708,38.125,0,0
14653792,14653770,1114122,0.3554314,0.03333628,-0.058310572,38.0,0,0
15255252,15255232,1114122,0.35428113,0.034294356,-0.060188465,38.0,0,0
15351551,15351531,1114122,0.35551363,0.034220666,-0.05848129,38.25,0,0
15550314,15550278,1114122,0.35534924,0.03451546,-0.06010311,38.125,0,0
15657401,15657369,1114122,0.35518494,0.033999573,-0.06121277,38.125,0,0
15752940,15752921,1114122,0.35534924,0.035031345,-0.060359184,38.125,0,0
16048033,16048013,1114122,0.35633522,0.034441758,-0.06087134,38.125,0,0
16154476,16154451,1114122,0.35485625,0.034294356,-0.061724927,38.25,0,0
16249610,16249584,1114122,0.35428113,0.033483688,-0.060956694,38.0,0,0
16355647,16355627,1114122,0.35502064,0.03547353,-0.06181028,38.125,0,0
16652150,16652127,1114122,0.35493842,0.034441758,-0.059932392,38.125,0,0
16747221,16747195,1114122,0.35493842,0.032967802,-0.061639562,38.125,0,0
16951011,16950980,1114122,0.35477412,0.03466285,-0.060273826,38.125,0,0
17057459,17057431,1114122,0.35518494,0.03385217,-0.059420235,38.125,0,0
17152332,17152313,1114122,0.35510278,0.03451546,-0.060529903,38.0,0,0
17352426,17352406,1114122,0.35477412,0.034146965,-0.058737367,38.125,0,0
17457568,17457539,1114122,0.35502064,0.03466285,-0.05882273,38.0,0,0
17552649,17552629,1114122,0.35469195,0.034441758,-0.059078805,38.25,0,0
17657699,17657679,1114122,0.3552671,0.033999573,-0.059761673,38.125,0,0
17752753,17752724,1114122,0.35551363,0.035252437,-0.06138349,38.375,0,0
17848755,17848735,1114122,0.3554314,0.03385217,-0.060956694,38.25,0,0
18052793,18052764,1114122,0.35534924,0.033262596,-0.06010311,38.25,0,0
18148037,18148007,1114122,0.35559577,0.035031345,-0.06070062,38.0,0,0
18253013,18252986,1114122,0.35608876,0.033999573,-0.060273826,38.375,0,0
18347991,18347962,1114122,0.35559577,0.033925872,-0.06010311,38.125,0,0
18453556,18453536,1114122,0.35493842,0.03370478,-0.060017746,38.125,0,0
18548071,18548051,1114122,0.35592446,0.03311519,-0.05839593,38.25,0,0
18853131,18853112,1114122,0.3552671,0.03385217,-0.057030194,38.125,0,0
18948188,18948169,1114122,0.3546098,0.03311519,-0.05728627,38.125,0,0
19251548,19251528,1114122,0.35502064,0.03311519,-0.05728627,38.125,0,0
19347126,19347100,1114122,0.35559577,0.034368057,-0.058310572,38.25,0,0
19452105,19452082,1114122,0.3554314,0.03363108,-0.05728627,38.25,0,0
19548371,19548351,1114122,0.35584223,0.03363108,-0.057542343,38.125,0,0
19653449,19653424,1114122,0.35534924,0.03311519,-0.05839593,38.375,0,0
21155203,21155176,1114122,0.35452765,0.032673005,-0.055579096,38.375,0,0
21251629,21251609,1114122,0.35444543,0.032009717,-0.05728627,38.375,0,0
21549418,21549386,1114122,0.35567793,0.032820396,-0.055408377,38.25,0,0
21952037,21952014,1114122,0.35576007,0.03237821,-0.053445123,38.375,0,0
22057178,22057155,1114122,0.3546098,0.03311519,-0.05387192,38.375,0,0
22352267,22352240,1114122,0.35378814,0.03230451,-0.05506694,38.375,0,0
22447217,22447197,1114122,0.35444543,0.03237821,-0.055749808,38.375,0,0
22649915,22649877,1114122,0.35469195,0.03304149,-0.056091245,38.25,0,0
22755400,22755380,1114122,0.35477412,0.032967802,-0.05378656,38.375,0,0
22849972,22849947,1114122,0.35395244,0.03363108,-0.055493735,38.375,0,0
22953849,22953829,1114122,0.3552671,0.03237821,-0.05617661,38.375,0,0
23153403,23153376,1114122,0.35633522,0.033409987,-0.056091245,38.375,0,0
23247894,23247874,1114122,0.35419896,0.032967802,-0.054554794,38.375,0,0
23450190,23450146,1114122,0.35444543,0.032451913,-0.055835173,38.25,0,0
23648964,23648941,1114122,0.35428113,0.03311519,-0.05489622,38.375,0,0
23755280,23755254,1114122,0.35510278,0.033778466,-0.054213356,38.25,0,0
23850472,23850444,1114122,0.35510278,0.032894097,-0.055664454,38.25,0,0
23947819,23947799,1114122,0.35419896,0.033262596,-0.055664454,38.375,0,0
24052906,24052881,1114122,0.35502064,0.032599304,-0.055835173,38.5,0,0
24255505,24255485,1114122,0.3552671,0.032894097,-0.05506694,38.375,0,0
24350634,24350608,1114122,0.3560066,0.032894097,-0.056774113,38.375,0,0
24548816,24548795,1114122,0.35444543,0.03223082,-0.056347318,38.375,0,0
24749401,24749371,1114122,0.35469195,0.032967802,-0.055493735,38.375,0,0
24854372,24854349,1114122,0.3535416,0.030977957,-0.055920526,38.375,0,0
24948844,24948824,1114122,0.35469195,0.032599304,-0.055323016,38.5,0,0
25053850,25053830,1114122,0.3552671,0.032967802,-0.054384075,38.5,0,0
25457046,25457026,1114122,0.35559577,0.033483688,-0.05446943,38.5,0,0
25551568,25551538,1114122,0.35493842,0.03385217,-0.055835173,38.5,0,0
25752107,25752087,1114122,0.35444543,0.03230451,-0.055408377,38.5,0,0
25857139,25857119,1114122,0.35419896,0.03304149,-0.056432683,38.5,0,0
25952655,25952635,1114122,0.35469195,0.03311519,-0.056774113,38.5,0,0
26047169,26047150,1114122,0.35518494,0.032451913,-0.055408377,38.5,0,0
26153938,26153918,1114122,0.35452765,0.032894097,-0.05617661,38.375,0,0
26247717,26247687,1114122,0.35419896,0.032673005,-0.05506694,38.25,0,0
26647749,26647730,1114122,0.35428113,0.033188894,-0.05600589,38.5,0,0
26754291,26754265,1114122,0.35584223,0.03223082,-0.05600589,38.375,0,0
27449565,27449532,1114122,0.35502064,0.032599304,-0.056091245,38.5,0,0
27650504,27650481,1114122,0.35502064,0.031862326,-0.056091245,38.5,0,0
27757041,27757018,1114122,0.35510278,0.03237821,-0.056859475,38.5,0,0
27852207,27852175,1114122,0.35510278,0.032894097,-0.055579096,38.5,0,0
28052198,28052166,1114122,0.35477412,0.032599304,-0.05745699,38.5,0,0
28157230,28157203,1114122,0.35551363,0.032009717,-0.05711555,38.375,0,0
28251115,28251096,1114122,0.35436326,0.033778466,-0.057627708,38.375,0,0
28356093,28356074,1114122,0.35378814,0.03274671,-0.05822522,38.375,0,0
28957750,28957731,1114122,0.35502064,0.033188894,-0.06104205,38.625,0,0
29255955,29255935,1114122,0.35469195,0.033188894,-0.058908086,38.5,0,0
29456498,29456479,1114122,0.35419896,0.032894097,-0.061639562,38.5,0,0
29647991,29647971,1114122,0.35502064,0.033409987,-0.060017746,38.375,0,0
29753641,29753622,1114122,0.35502064,0.032820396,-0.059334878,38.5,0,0
30048719,30048700,1114122,0.35592446,0.032967802,-0.05882273,38.5,0,0
30653499,30653479,1114122,0.35567793,0.033557374,-0.06138349,38.625,0,0
30748486,30748466,1114122,0.35518494,0.033262596,-0.060444538,38.75,0,0
31151077,31151055,1114122,0.3540346,0.032967802,-0.061468843,38.625,0,0
31256195,31256176,1114122,0.35518494,0.032894097,-0.059676316,38.625,0,0
31351301,31351266,1114122,0.35534924,0.03370478,-0.060956694,38.625,0,0
31456217,31456195,1114122,0.35469195,0.034294356,-0.06070062,38.625,0,0
31550259,31550216,1114122,0.3554314,0.034073263,-0.061127413,38.75,0,0
31656319,31656299,1114122,0.35510278,0.033557374,-0.059334878,38.5,0,0
31856793,31856773,1114122,0.3554314,0.03370478,-0.060615256,38.5,0,0
31951470,31951450,1114122,0.35395244,0.03370478,-0.060529903,38.625,0,0
32057408,32057380,1114122,0.35469195,0.033262596,-0.061298132,38.625,0,0
32256866,32256847,1114122,0.35395244,0.03333628,-0.060444538,38.625,0,0
32354080,32354060,1114122,0.35428113,0.032967802,-0.06104205,38.5,0,0
32447954,32447934,1114122,0.35485625,0.03385217,-0.06104205,38.75,0,0
32552941,32552922,1114122,0.3546098,0.033557374,-0.061639562,38.625,0,0
32657948,32657929,1114122,0.35559577,0.03363108,-0.06104205,38.625,0,0
32951946,32951926,1114122,0.35444543,0.033483688,-0.061639562,38.625,0,0
33058011,33057979,1114122,0.35469195,0.033188894,-0.061981,38.75,0,0
33258554,33258534,1114122,0.3546098,0.03370478,-0.062066354,38.625,0,0
33449723,33449700,1114122,0.3546098,0.03466285,-0.061298132,38.625,0,0
33555699,33555680,1114122,0.35452765,0.032967802,-0.061127413,38.625,0,0
33850757,33850730,1114122,0.35510278,0.034073263,-0.06155421,38.5,0,0
34156311,34156282,1114122,0.35576007,0.033409987,-0.061724927,38.625,0,0
34452584,34452552,1114122,0.35370597,0.03370478,-0.06138349,38.625,0,0
34947838,34947818,1114122,0.35444543,0.034368057,-0.06070062,38.625,0,0
35052864,35052845,1114122,0.35493842,0.03370478,-0.062322438,38.625,0,0
35253001,35252978,1114122,0.3538703,0.033999573,-0.06249315,38.875,0,0
35347043,35347017,1114122,0.35428113,0.033409987,-0.06138349,38.75,0,0
35454101,35454074,1114122,0.35534924,0.034294356,-0.060615256,38.75,0,0
35550691,35550671,1114122,0.35469195,0.03451546,-0.060785975,38.625,0,0
35951849,35951820,1114122,0.35485625,0.03466285,-0.06010311,38.75,0,0
36048401,36048374,1114122,0.35534924,0.033778466,-0.060956694,38.75,0,0
36248413,36248393,1114122,0.35428113,0.033925872,-0.061639562,38.875,0,0
36353473,36353454,1114122,0.3546098,0.034294356,-0.06155421,38.75,0,0
36449502,36449479,1114122,0.35534924,0.033778466,-0.061639562,38.625,0,0
36554497,36554477,1114122,0.35493842,0.033409987,-0.061724927,38.875,0,0
36956682,36956662,1114122,0.35452765,0.03363108,-0.06070062,38.75,0,0
37051295,37051268,1114122,0.35469195,0.03370478,-0.059932392,38.75,0,0
37155108,37155088,1114122,0.35469195,0.034441758,-0.06104205,38.75,0,0
37251370,37251348,1114122,0.35370597,0.033557374,-0.059590954,38.75,0,0
37356373,37356348,1114122,0.35378814,0.032894097,-0.059505597,38.75,0,0
37556496,37556474,1114122,0.35419896,0.035105035,-0.057627708,38.875,0,0
37749186,37749161,1114122,0.35436326,0.03333628,-0.059420235,38.75,0,0
37855456,37855429,1114122,0.35485625,0.034146965,-0.05865201,38.625,0,0
37949948,37949929,1114122,0.35419896,0.034294356,-0.059590954,38.875,0,0
38150502,38150483,1114122,0.35428113,0.033557374,-0.060615256,38.75,0,0
38352104,38352084,1114122,0.35395244,0.03370478,-0.060785975,38.875,0,0
38457095,38457076,1114122,0.35567793,0.033262596,-0.060615256,38.875,0,0
38554467,38554445,1114122,0.35452765,0.03237821,-0.061468843,38.75,0,0
38648194,38648174,1114122,0.35493842,0.033188894,-0.059334878,38.875,0,0
38755306,38755278,1114122,0.35436326,0.034073263,-0.05728627,38.75,0,0
39350643,39350620,1114122,0.35452765,0.033778466,-0.058139857,38.875,0,0
39647575,39647549,1114122,0.35518494,0.03363108,-0.059932392,38.875,0,0
39755952,39755925,1114122,0.35518494,0.03230451,-0.060785975,39.0,0,0
39851498,39851475,1114122,0.35428113,0.03304149,-0.060188465,38.875,0,0
39957631,39957611,1114122,0.35567793,0.032967802,-0.059505597,39.0,0,0
40349208,40349189,1114122,0.3552671,0.03385217,-0.059420235,38.75,0,0
40454209,40454177,1114122,0.35452765,0.031788625,-0.060785975,38.875,0,0
40548696,40548676,1114122,0.35477412,0.034146965,-0.05711555,38.875,0,0
40655443,40655421,1114122,0.3538703,0.033409987,-0.059847035,38.75,0,0
40749254,40749235,1114122,0.35592446,0.034294356,-0.058737367,39.0,0,0
41455890,41455870,1114122,0.35477412,0.032820396,-0.05916416,38.875,0,0
41750960,41750940,1114122,0.3546098,0.033925872,-0.059761673,38.875,0,0
42056094,42056071,1114122,0.35469195,0.03304149,-0.06070062,38.875,0,0
42657097,42657077,1114122,0.35477412,0.03333628,-0.059505597,39.0,0,0
42751594,42751574,1114122,0.35485625,0.033925872,-0.059676316,38.875,0,0
42856451,42856429,1114122,0.35559577,0.032894097,-0.06104205,38.875,0,0
42952181,42952158,1114122,0.35493842,0.035105035,-0.060188465,39.125,0,0
43047698,43047678,1114122,0.35502064,0.032451913,-0.060359184,39.0,0,0
43152690,43152670,1114122,0.35493842,0.03385217,-0.060273826,39.0,0,0
43649479,43649437,1114122,0.35436326,0.03370478,-0.059590954,38.875,0,0
43849466,43849446,1114122,0.35452765,0.033925872,-0.059420235,39.125,0,0
43954894,43954874,1114122,0.35419896,0.03370478,-0.05856665,39.0,0,0
44354706,44354671,1114122,0.3535416,0.032673005,-0.060359184,38.875,0,0
44747432,44747403,1114122,0.35493842,0.03333628,-0.059847035,39.0,0,0
44854917,44854897,1114122,0.35436326,0.03363108,-0.06121277,39.125,0,0
45055304,45055278,1114122,0.3554314,0.033925872,-0.059847035,39.125,0,0
45352637,45352615,1114122,0.35493842,0.033557374,-0.05788378,39.125,0,0
45457704,45457684,1114122,0.35362384,0.034368057,-0.06010311,39.0,0,0
45552699,45552679,1114122,0.3554314,0.033925872,-0.058908086,39.125,0,0
45655896,45655876,1114122,0.3538703,0.033925872,-0.059932392,39.125,0,0
45750395,45750376,1114122,0.35510278,0.033483688,-0.060444538,39.25,0,0
45855400,45855381,1114122,0.35452765,0.03311519,-0.060956694,39.0,0,0
46350620,46350600,1114122,0.3546098,0.03473655,-0.06240779,39.125,0,0
46549452,46549432,1114122,0.35559577,0.034368057,-0.062066354,39.25,0,0
46654452,46654429,1114122,0.35493842,0.034441758,-0.062578514,39.125,0,0
46750738,46750718,1114122,0.3540346,0.03481024,-0.06181028,39.125,0,0
46855808,46855788,1114122,0.35485625,0.033188894,-0.06240779,39.25,0,0
46951597,46951577,1114122,0.35452765,0.034368057,-0.06104205,39.125,0,0
47056639,47056588,1114122,0.35493842,0.033999573,-0.061981,39.25,0,0
47152147,47152127,1114122,0.35436326,0.034957644,-0.062578514,39.125,0,0
47448733,47448703,1114122,0.35452765,0.034073263,-0.063005306,39.0,0,0
47554306,47554277,1114122,0.3540346,0.034146965,-0.062578514,39.0,0,0
48650506,48650476,1114122,0.35518494,0.034441758,-0.063005306,39.125,0,0
48755500,48755480,1114122,0.35444543,0.035252437,-0.06420033,39.125,0,0
48851727,48851708,1114122,0.35395244,0.033925872,-0.06317602,39.125,0,0
49349497,49349477,1114122,0.35477412,0.034146965,-0.06385889,39.125,0,0
49749680,49749660,1114122,0.35444543,0.034073263,-0.06573678,39.125,0,0
49952252,49952232,1114122,0.3540346,0.034957644,-0.064541765,39.125,0,0
50057325,50057305,1114122,0.35428113,0.034441758,-0.063773535,39.125,0,0
50153038,50153019,1114122,0.35395244,0.03547353,-0.064883195,39.125,0,0
50247527,50247497,1114122,0.35469195,0.03311519,-0.065651424,39.125,0,0
50355078,50355050,1114122,0.35444543,0.035768326,-0.06351745,39.25,0,0
51056059,51056040,1114122,0.35485625,0.03363108,-0.065395355,39.25,0,0
51151607,51151580,1114122,0.35452765,0.034368057,-0.06582215,39.125,0,0
51255563,51255543,1114122,0.35485625,0.03481024,-0.0659075,39.375,0,0
51350478,51350458,1114122,0.35444543,0.035252437,-0.06530999,39.25,0,0
51549562,51549537,1114122,0.3538703,0.03458915,-0.065651424,39.125,0,0
51752207,51752182,1114122,0.3552671,0.034146965,-0.06513927,39.375,0,0
51848209,51848186,1114122,0.35510278,0.034146965,-0.06428568,39.25,0,0
51955722,51955703,1114122,0.35510278,0.035399828,-0.06334674,39.25,0,0
52049426,52049384,1114122,0.35419896,0.035178736,-0.06471248,39.125,0,0
52155853,52155830,1114122,0.3546098,0.034220666,-0.0644564,39.375,0,0
52250948,52250928,1114122,0.35477412,0.03451546,-0.06437105,39.25,0,0
52651099,52651080,1114122,0.35452765,0.03547353,-0.06599286,39.25,0,0
52757049,52757029,1114122,0.35452765,0.03481024,-0.066590376,39.25,0,0
52853753,52853734,1114122,0.35469195,0.033925872,-0.06573678,39.375,0,0
53147645,53147626,1114122,0.3540346,0.03547353,-0.06505392,39.375,0,0
53254747,53254724,1114122,0.35477412,0.034957644,-0.06479784,39.375,0,0
53854310,53854280,1114122,0.35444543,0.035105035,-0.06266387,39.25,0,0
53949311,53949282,1114122,0.35411683,0.035031345,-0.06479784,39.375,0,0
54054874,54054848,1114122,0.35436326,0.035178736,-0.06505392,39.375,0,0
54150437,54150415,1114122,0.35452765,0.035326127,-0.06394425,39.25,0,0
54256877,54256857,1114122,0.35419896,0.034294356,-0.06462712,39.25,0,0
54350949,54350929,1114122,0.35477412,0.03458915,-0.06317602,39.375,0,0
54755201,54755175,1114122,0.35304862,0.03385217,-0.064541765,39.375,0,0
54955791,54955748,1114122,0.35370597,0.03458915,-0.06249315,39.25,0,0
55549002,55548983,1114122,0.35510278,0.033778466,-0.06121277,39.375,0,0
55655054,55655035,1114122,0.35485625,0.033188894,-0.06104205,39.25,0,0
55949052,55949028,1114122,0.35469195,0.033483688,-0.06240779,39.25,0,0
56148551,56148523,1114122,0.3540346,0.03363108,-0.06326138,39.375,0,0
56749149,56749128,1114122,0.35362384,0.03304149,-0.059761673,39.5,0,0
57951147,57951119,1114122,0.35452765,0.032009717,-0.0537012,39.375,0,0
58056260,58056231,1114122,0.35485625,0.03237821,-0.054213356,39.375,0,0
58151951,58151932,1114122,0.35411683,0.03274671,-0.053615842,39.375,0,0
58247527,58247495,1114122,0.3535416,0.033188894,-0.052847613,39.5,0,0
58352497,58352477,1114122,0.35469195,0.032451913,-0.052164745,39.375,0,0
58953091,58953071,1114122,0.35321298,0.032967802,-0.054384075,39.375,0,0
59154165,59154142,1114122,0.3535416,0.030683162,-0.05617661,39.375,0,0
59353144,59353124,1114122,0.35436326,0.03237821,-0.055920526,39.5,0,0
59649499,59649479,1114122,0.35345945,0.033188894,-0.055664454,39.5,0,0
59753194,59753174,1114122,0.35444543,0.032009717,-0.055664454,39.5,0,0
60155394,60155374,1114122,0.35370597,0.032820396,-0.054554794,39.625,0,0
60250898,60250878,1114122,0.35395244,0.031051645,-0.054554794,39.625,0,0
60347350,60347324,1114122,0.3540346,0.03230451,-0.054128,39.5,0,0
60454836,60454814,1114122,0.3535416,0.03333628,-0.05387192,39.625,0,0
60549926,60549897,1114122,0.35419896,0.032599304,-0.05395728,39.5,0,0
60654986,60654956,1114122,0.35378814,0.031567533,-0.05446943,39.5,0,0
61655810,61655778,1114122,0.35469195,0.03230451,-0.05395728,39.5,0,0
61751395,61751376,1114122,0.35395244,0.033188894,-0.05395728,39.5,0,0
