timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
3049039,2162698,2162698,0,0,0,0,0,0.0012611091,1.5287085e-05,3.910332e-10,400,400
3149048,2162698,2162698,0,0,0,0,0,0.0010746703,1.46327475e-05,3.6571146e-10,400,400
5069963,2162698,2162698,0,0,0,0,0,0.00025497432,8.418309e-06,1.6164313e-10,400,400
8006081,2162698,2162698,0,0,0,0,0,0.00021864896,9.352897e-06,1.817719e-10,400,400
9021460,2162698,2162698,0,0,0,0,0,0.00022136682,1.0387406e-05,2.0737943e-10,400,400
10036887,2162698,2162698,0,0,0,0,0,0.00024048127,9.592857e-06,1.9111852e-10,400,400
11052386,2162698,2162698,0,0,0,0,0,0.00038069548,2.2255324e-05,5.321658e-10,400,400
13088201,2162698,2162698,0,0,0,0,0,0.00023524546,9.036928e-06,1.7017347e-10,400,400
15019290,2162698,2162698,0,0,0,0,0,0.00025796267,9.158417e-06,1.6438301e-10,400,400
17029872,2162698,2162698,0,0,0,0,0,0.00024996357,9.31125e-06,1.7389339e-10,400,400
20066195,2162698,2162698,0,0,0,0,0,0.00024803268,1.0996745e-05,2.000662e-10,400,400
21066672,2162698,2162698,0,0,0,0,0,0.0002918156,1.7772041e-05,3.5704154e-10,400,400
22077099,2162698,2162698,0,0,0,0,0,0.00026075734,1.139315e-05,2.1424879e-10,400,400
23992979,2162698,2162698,0,0,0,0,0,0.00022884339,8.775488e-06,1.4583768e-10,400,400
28049891,2162698,2162698,0,0,0,0,0,0.00028773502,1.01179285e-05,1.7842515e-10,400,400
33012130,2162698,2162698,0,0,0,0,0,0.00021956507,9.6805015e-06,1.5270127e-10,400,400
34022501,2162698,2162698,0,0,0,0,0,0.000266029,9.151732e-06,1.4488256e-10,400,400
39069775,2162698,2162698,0,0,0,0,0,0.00027385185,8.198661e-06,1.2824916e-10,400,400
43026598,2162698,2162698,0,0,0,0,0,0.00034116858,1.8018565e-05,3.5832007e-10,400,400
46073042,2162698,2162698,0,0,0,0,0,0.0003017789,1.4089423e-05,2.7306446e-10,400,400
47083548,2162698,2162698,0,0,0,0,0,0.00028513523,9.160788e-06,1.4250495e-10,400,400
48094062,2162698,2162698,0,0,0,0,0,0.00023816929,9.297304e-06,1.3755455e-10,400,400
49009420,2162698,2162698,0,0,0,0,0,0.00023633929,8.77892e-06,1.3315919e-10,400,400
56092997,2162698,2162698,0,0,0,0,0,0.00023972835,8.976556e-06,1.2945688e-10,400,400
57018278,2162698,2162698,0,0,0,0,0,0.00022989017,8.7492635e-06,1.2553537e-10,400,400
62070731,2162698,2162698,0,0,0,0,0,0.00030482508,1.3306298e-05,2.242587e-10,400,400
65027143,2162698,2162698,0,0,0,0,0,0.00022602662,8.704979e-06,1.1469243e-10,400,400
67058121,2162698,2162698,0,0,0,0,0,0.00025097627,8.217876e-06,1.0664394e-10,400,400
68058743,2162698,2162698,0,0,0,0,0,0.00026538759,8.425099e-06,1.13942696e-10,400,400
71005117,2162698,2162698,0,0,0,0,0,0.00025505119,1.1064592e-05,1.6487495e-10,400,400
72010618,2162698,2162698,0,0,0,0,0,0.00034344653,1.8740562e-05,3.078744e-10,400,400
74041658,2162698,2162698,0,0,0,0,0,0.00024442247,9.144943e-06,1.2538749e-10,400,400
75052102,2162698,2162698,0,0,0,0,0,0.0002602494,8.755486e-06,1.1977155e-10,400,400
76057669,2162698,2162698,0,0,0,0,0,0.00023754434,8.967676e-06,1.2305408e-10,400,400
77073101,2162698,2162698,0,0,0,0,0,0.0002587098,8.673912e-06,1.1832574e-10,400,400
79089140,2162698,2162698,0,0,0,0,0,0.0002383886,8.251707e-06,1.13452796e-10,400,400
80004621,2162698,2162698,0,0,0,0,0,0.00023030663,8.100133e-06,1.04354435e-10,400,400
81015157,2162698,2162698,0,0,0,0,0,0.00025786928,8.2502775e-06,9.9487404e-11,400,400
84056724,2162698,2162698,0,0,0,0,0,0.0002547585,8.811843e-06,1.0576263e-10,400,400
85082144,2162698,2162698,0,0,0,0,0,0.00024745363,8.507082e-06,1.0116183e-10,400,400
86998211,2162698,2162698,0,0,0,0,0,0.0002753101,8.819756e-06,1.096677e-10,400,400
90044790,2162698,2162698,0,0,0,0,0,0.00028289182,1.322671e-05,1.8830679e-10,400,400
92075725,2162698,2162698,0,0,0,0,0,0.00046198693,2.8994958e-05,4.3629592e-10,400,400
98074075,2162698,2162698,0,0,0,0,0,0.00025656144,1.2217264e-05,1.579036e-10,400,400
99084364,2162698,2162698,0,0,0,0,0,0.00046086358,3.2035383e-05,6.166709e-10,400,400
100084953,2162698,2162698,0,0,0,0,0,0.0004427086,2.72439e-05,4.674188e-10,400,400
104037079,2162698,2162698,0,0,0,0,0,0.00035592276,2.0457206e-05,2.9327857e-10,400,400
105047483,2162698,2162698,0,0,0,0,0,0.0002679746,1.4421742e-05,1.9875936e-10,400,400
106063056,2162698,2162698,0,0,0,0,0,0.00025331977,1.5009888e-05,2.0581736e-10,400,400
112066318,2162698,2162698,0,0,0,0,0,0.00030931158,2.265564e-05,3.3796616e-10,400,400
113076738,2162698,2162698,0,0,0,0,0,0.0002811804,2.3506791e-05,3.3795625e-10,400,400
116008367,2162698,2162698,0,0,0,0,0,0.00029269065,2.0771824e-05,2.9850025e-10,400,400
118024431,2162698,2162698,0,0,0,0,0,0.00033114856,2.2624914e-05,3.7008188e-10,400,400
119039999,2162698,2162698,0,0,0,0,0,0.0002804321,2.2485036e-05,3.3472336e-10,400,400
123082200,2162698,2162698,0,0,0,0,0,0.0004433608,4.1047017e-05,9.0243746e-10,400,400
126023837,2162698,2162698,0,0,0,0,0,0.0005541848,5.8907888e-05,1.4885773e-09,400,400
127034396,2162698,2162698,0,0,0,0,0,0.00050398434,4.942306e-05,1.1225222e-09,400,400
128040004,2162698,2162698,0,0,0,0,0,0.0007507854,6.5306565e-05,2.7085834e-09,400,400
129060584,2162698,2162698,0,0,0,0,0,0.0008759297,9.9013654e-05,6.6093033e-09,400,400
130066192,2162698,2162698,0,0,0,0,0,0.0010573834,0.00010415308,1.0757054e-08,400,400
131076674,2162698,2162698,0,0,0,0,0,0.0006062369,6.492072e-05,2.7948246e-09,400,400
135018838,2162698,2162698,0,0,0,0,0,0.0007480598,9.610007e-05,7.778627e-09,400,400
136019435,2162698,2162698,0,0,0,0,0,0.0006076957,7.372422e-05,3.086187e-09,400,400
137025153,2162698,2162698,0,0,0,0,0,0.0004702838,5.3428597e-05,1.6005303e-09,400,400
141082370,2162698,2162698,0,0,0,0,0,0.00025574036,2.296868e-05,2.8570885e-10,400,400
142087930,2162698,2162698,0,0,0,0,0,0.0002553625,2.2945766e-05,3.1530464e-10,400,400
144024093,2162698,2162698,0,0,0,0,0,0.00028066785,1.7226363e-05,2.177948e-10,400,400
145039542,2162698,2162698,0,0,0,0,0,0.00025780403,1.6092914e-05,2.0058233e-10,400,400
146060137,2162698,2162698,0,0,0,0,0,0.00028717416,1.31126835e-05,1.52649e-10,400,400
151028088,2162698,2162698,0,0,0,0,0,0.00024561104,1.016238e-05,1.1619385e-10,400,400
153039259,2162698,2162698,0,0,0,0,0,0.00027677137,9.606235e-06,1.03569535e-10,400,400
155050289,2162698,2162698,0,0,0,0,0,0.00022069705,9.942061e-06,1.1750528e-10,400,400
157076421,2162698,2162698,0,0,0,0,0,0.00023869544,9.510656e-06,1.0795793e-10,400,400
158082059,2162698,2162698,0,0,0,0,0,0.00024545903,9.978159e-06,1.2323029e-10,400,400
159007676,2162698,2162698,0,0,0,0,0,0.00026003554,9.043173e-06,1.042697e-10,400,400
160023134,2162698,2162698,0,0,0,0,0,0.00023371194,1.0139834e-05,1.1920685e-10,400,400
161023748,2162698,2162698,0,0,0,0,0,0.0002648184,9.575397e-06,1.04299645e-10,400,400
163054901,2162698,2162698,0,0,0,0,0,0.00027772845,1.0379818e-05,1.1705166e-10,400,400
165086097,2162698,2162698,0,0,0,0,0,0.00024228249,9.590605e-06,1.0814252e-10,400,400
166001684,2162698,2162698,0,0,0,0,0,0.00025480625,1.1149274e-05,1.3002537e-10,400,400
171054558,2162698,2162698,0,0,0,0,0,0.00075864035,5.7655165e-05,1.312067e-09,400,400
172065071,2162698,2162698,0,0,0,0,0,0.0005110749,4.6929603e-05,9.175856e-10,400,400
174081247,2162698,2162698,0,0,0,0,0,0.00026027733,1.9635147e-05,2.6695834e-10,400,400
175086888,2162698,2162698,0,0,0,0,0,0.00028055956,1.934616e-05,2.5184238e-10,400,400
176012446,2162698,2162698,0,0,0,0,0,0.00029657801,1.5301212e-05,1.8358857e-10,400,400
177017939,2162698,2162698,0,0,0,0,0,0.00028054067,1.6908109e-05,2.3483215e-10,400,400
181075341,2162698,2162698,0,0,0,0,0,0.0002281195,1.3304884e-05,1.5893839e-10,400,400
182081003,2162698,2162698,0,0,0,0,0,0.00023869521,1.9411818e-05,2.588905e-10,400,400
183086508,2162698,2162698,0,0,0,0,0,0.0002468899,1.8076247e-05,2.436841e-10,400,400
185007732,2162698,2162698,0,0,0,0,0,0.00023847319,1.2014834e-05,1.3341465e-10,400,400
186018202,2162698,2162698,0,0,0,0,0,0.00022194494,1.0722495e-05,1.3036543e-10,400,400
188039415,2162698,2162698,0,0,0,0,0,0.00067865977,7.9855854e-05,4.4341393e-09,400,400
190065634,2162698,2162698,0,0,0,0,0,0.00028497571,1.8298066e-05,2.9546024e-10,400,400
193002391,2162698,2162698,0,0,0,0,0,0.00050271093,7.0340575e-05,3.090673e-09,400,400
196044096,2162698,2162698,0,0,0,0,0,0.00051045814,4.3772725e-05,8.433731e-10,400,400
197049709,2162698,2162698,0,0,0,0,0,0.0006770526,5.4193035e-05,1.1152806e-09,400,400
198055319,2162698,2162698,0,0,0,0,0,0.0003357374,1.9915478e-05,3.0521452e-10,400,400
199055903,2162698,2162698,0,0,0,0,0,0.0002599254,1.0745113e-05,1.244412e-10,400,400
200061539,2162698,2162698,0,0,0,0,0,0.00022550316,1.0595358e-05,1.13399075e-10,400,400
203083263,2162698,2162698,0,0,0,0,0,0.00021242596,1.1207729e-05,1.1788422e-10,400,400
204083859,2162698,2162698,0,0,0,0,0,0.00023292759,1.04367e-05,1.1686331e-10,400,400
206014998,2162698,2162698,0,0,0,0,0,0.00025373974,9.479901e-06,1.0024344e-10,400,400
208016247,2162698,2162698,0,0,0,0,0,0.00025045298,9.5267305e-06,1.01518106e-10,400,400
216000948,2162698,2162698,0,0,0,0,0,0.0002816685,9.282357e-06,1.0713262e-10,400,400
219022838,2162698,2162698,0,0,0,0,0,0.00021494273,8.970803e-06,9.064e-11,400,400
221044008,2162698,2162698,0,0,0,0,0,0.00022070012,8.452883e-06,8.7857055e-11,400,400
222059595,2162698,2162698,0,0,0,0,0,0.00025462554,9.123037e-06,9.462136e-11,400,400
225081383,2162698,2162698,0,0,0,0,0,0.00025964336,9.436399e-06,1.04336165e-10,400,400
225992024,2162698,2162698,0,0,0,0,0,0.00023783246,9.4095885e-06,9.7423715e-11,400,400
229038763,2162698,2162698,0,0,0,0,0,0.0008407053,6.01972e-05,2.400158e-09,400,400
230039346,2162698,2162698,0,0,0,0,0,0.001318397,0.00010342944,7.3413626e-09,400,400
233071263,2162698,2162698,0,0,0,0,0,0.0008734187,5.4578337e-05,1.6986094e-09,400,400
234086964,2162698,2162698,0,0,0,0,0,0.00043029874,2.4671164e-05,4.432257e-10,400,400
237013561,2162698,2162698,0,0,0,0,0,0.00047044095,4.2582655e-05,1.1698313e-08,400,400
238019185,2162698,2162698,0,0,0,0,0,0.00039958663,3.9607938e-05,2.3877988e-09,400,400
239019924,2162698,2162698,0,0,0,0,0,0.00039881762,3.677926e-05,1.0120527e-09,400,400
242047060,2162698,2162698,0,0,0,0,0,0.0004011111,4.304893e-05,9.755974e-10,400,400
243052383,2162698,2162698,0,0,0,0,0,0.00032896345,2.7115933e-05,4.675394e-10,400,400
244068112,2162698,2162698,0,0,0,0,0,0.00036502414,2.2799208e-05,3.4893768e-10,400,400
245088805,2162698,2162698,0,0,0,0,0,0.0002768211,1.8717807e-05,2.5895713e-10,400,400
