timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
394699855,0.19570065,0.31819415,0.24196467,0
394900210,0.18815315,0.3192251,0.2434035,0
395509628,0.15665825,0.20536669,0.19281529,0
396710869,0.071190335,0.18651384,0.1401428,1
397702193,0.014032608,0.009599933,0.0155723,0
398702658,0.03816866,0.09548648,0.022005798,0
399703134,0.038728587,0.035757676,0.028732758,1
400703888,0.038728587,0.035757676,0.028732758,1
401705044,0.038728587,0.035757676,0.028732758,1
402696356,0.07403183,0.114509165,0.04387414,0
403697125,0.032973588,0.037994616,0.012072027,0
404698416,0.11749002,0.2953409,0.19157617,0
405708571,0.18214233,0.169821,0.20039627,0
406699217,0.17449686,0.07614813,0.19614822,1
407700000,0.028676301,0.008685676,0.03297837,0
408700774,0.02373699,0.11845085,0.0028006819,0
409701771,0.07389845,0.22606942,0.065882884,0
410702548,0.18450262,0.26565543,0.18192399,0
411703118,0.2320172,0.13874607,0.21706639,0
412703872,0.20273986,0.32943383,0.18732095,0
413704728,0.1965537,0.4071656,0.18255687,0
414696484,0.18864201,0.28678396,0.17732918,0
415706317,0.16479726,0.17949061,0.13376012,0
416697251,0.13377288,0.2730876,0.1108875,1
417698245,0.13377288,0.2730876,0.1108875,1
418698807,0.13377288,0.2730876,0.1108875,1
419699693,0.13377288,0.2730876,0.1108875,1
420700576,0.017410472,0.08969994,0.017137373,0
421701264,0.025713397,0.010206651,0.0253342,1
422702360,0.025713397,0.010206651,0.0253342,1
423702957,0.043141708,0.0015360358,0.062321693,0
424704154,0.043141708,0.0015360358,0.062321693,1
425714999,0.043141708,0.0015360358,0.062321693,1
426705566,0.043141708,0.0015360358,0.062321693,1
426905534,0.043141708,0.0015360358,0.062321693,1
562314933,0.043141708,0.0015360358,0.062321693,1
562515286,0.043141708,0.0015360358,0.062321693,1
563315585,0.043141708,0.0015360358,0.062321693,1
564316646,0.043141708,0.0015360358,0.062321693,1
616117400,0.043141708,0.0015360358,0.062321693,1
616317858,0.043141708,0.0015360358,0.062321693,1
616517402,0.043141708,0.0015360358,0.062321693,1
620519150,0.043141708,0.0015360358,0.062321693,1
620719955,0.043141708,0.0015360358,0.062321693,1
621520019,0.043141708,0.0015360358,0.062321693,1
622520229,0.043141708,0.0015360358,0.062321693,1
623520483,0.31649846,0.08664261,0.10885135,0
624521400,0.58494353,0.08756475,0.13492556,0
625312065,0.8511851,0.027814135,0.23629475,0
626322226,1.1143866,0.15748212,0.26126242,0
627322864,1.4062383,0.009574851,0.27661577,0
628322683,1.4586488,0.1910027,0.3033767,0
629513509,1.404242,0.36520132,0.29603463,0
630314082,1.375711,0.47139734,0.33747855,0
631515155,1.2712586,0.7493693,0.3458892,0
632315216,1.2183529,0.76321256,0.31537497,0
633515663,1.1355958,0.7571009,0.33607692,0
634316311,1.0200497,0.96644354,0.317767,0
635516421,0.7834984,1.4459172,0.15189086,0
636517255,0.7471858,1.3304211,0.2769015,0
637517620,0.72658044,1.2148116,0.25385475,0
638517647,0.6791565,1.3128464,0.27976042,0
639518483,0.5965876,1.3698893,0.2032755,0
640519039,0.55386037,1.4316314,0.1995985,0
641519421,0.48538572,1.3678056,0.17563401,0
642519748,0.47943288,1.0840387,0.17763957,1
643520370,0.47943288,1.0840387,0.17763957,1
644520868,0.47943288,1.0840387,0.17763957,1
645521373,0.06260512,0.21279494,0.14727098,0
646322185,0.036558006,0.50401086,0.12668595,0
647322422,0.13428982,0.9309851,0.10628631,0
648513662,0.09479248,0.8214664,0.17777923,0
649323477,0.13984646,0.9407999,0.18290028,0
650323839,0.3054519,1.2037884,0.16230306,0
651324156,0.31537673,1.2074559,0.15467645,0
652315268,0.34885877,1.2465,0.1442159,0
653325235,0.35057336,1.2419535,0.11720914,0
654326219,0.36684605,0.9871068,0.08108664,0
655326360,0.31694934,0.71681714,0.09189276,0
656317410,0.29832923,0.78391874,0.07025933,0
657327822,0.34396943,0.7794165,0.059940178,0
658328270,0.22205244,0.46928215,0.06643282,0
659519174,0.23646045,0.35509402,0.03168134,0
660519996,0.1995647,0.23820549,0.07152227,0
661520216,0.23803683,0.19109079,0.03600082,0
662521028,0.11014432,0.068809494,0.09000979,0
663521034,0.084158614,0.09303996,0.10737009,0
664321515,0.14145383,0.038133174,0.1862002,0
665332344,0.14181343,0.0023557693,0.20810784,0
666322773,0.12039429,0.011881303,0.23658282,0
669515011,0.19410864,0.49960434,0.22493134,0
670334648,0.21684535,0.6096472,0.21448427,0
671325739,0.22874756,0.5417173,0.1609725,0
672325851,0.2613359,0.63803434,0.14291833,0
673317488,0.252552,0.72101736,0.14859045,0
674327683,0.27236226,0.8499168,0.14007673,0
675327730,0.27553052,0.92284566,0.14107846,0
676519000,0.27136242,0.80146056,0.097323745,0
677329143,0.271553,0.86682695,0.10614694,0
678320057,0.22801065,0.7446068,0.107475564,0
679325199,0.22801065,0.7446068,0.107475564,1
680325994,0.22801065,0.7446068,0.107475564,1
681516654,0.22801065,0.7446068,0.107475564,1
682517309,0.025513936,0.12831867,0.032831073,0
683322361,0.26378495,0.42614514,0.35893077,0
684323015,0.35489148,0.5520679,0.4526134,0
685323323,0.33951443,0.5254846,0.43860528,0
686323940,0.2707845,0.23474497,0.3410234,0
687324543,0.2507727,0.2673078,0.3428226,0
688325425,0.22329544,0.23288023,0.31412852,0
689325877,0.20283157,0.042208873,0.29744893,0
690326723,0.19658914,0.14758894,0.3092942,0
692327872,0.03618604,0.34958395,0.14110358,0
693518650,0.04146022,0.14372572,0.14392073,0
694328905,0.13343869,0.009958735,0.082125545,0
695320067,0.12364699,0.14945343,0.07951002,0
696324941,0.19506301,0.20955135,0.03535881,0
697336040,0.1004511,0.2573647,0.037828688,0
