timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
2957416,41.93457,2900.8418,0,15,12792,14336,0,3,138
3957566,210.0,206.9769,28,29,12933,14336,0,3,138
5958327,511.30273,169.56567,108,33,9200,14336,0,3,138
6958442,609.5293,151.7948,140,33,10605,14336,0,3,138
7958682,777.292,154.97112,182,33,11410,14336,0,3,138
9959907,1071.9365,152.76395,265,33,12539,14336,0,3,138
11960711,1302.0,144.3819,323,37,9388,14336,0,3,138
12961164,1436.4541,143.3844,360,37,7992,14336,0,3,138
16962620,1996.1064,142.37909,517,48,10350,14336,0,3,138
18963355,2276.0742,142.07353,598,55,10860,14336,0,3,138
21965004,2695.4775,141.70284,714,58,10208,14336,0,3,138
22965011,2828.0,141.24426,755,58,14220,14336,0,3,138
23965546,2968.0,141.18149,789,58,11711,14336,0,3,138
25966463,3228.5625,140.22934,864,62,11122,14336,0,3,138
28967937,3556.0,136.63795,947,62,13131,14336,0,3,138
31969524,3948.0,136.01335,1041,63,12683,14336,0,3,138
36971554,4578.0,134.53392,1209,67,14225,14336,0,3,138
37972091,4711.7734,134.51013,1237,67,13823,14336,0,3,138
38972770,4838.213,134.2836,1275,67,8473,14336,0,3,138
43974923,5439.3857,132.5646,1424,70,14210,14336,0,3,138
45975916,5693.215,132.29895,1486,70,9266,14336,0,3,138
46976068,5824.0,132.26411,1528,73,10331,14336,0,3,138
48976945,6055.3555,131.54099,1585,79,8012,14336,0,3,138
50978461,6300.0,131.153,1652,79,8791,14336,0,3,138
54980034,6741.698,129.55568,1773,83,14231,14336,0,3,138
55980769,6854.912,129.24577,1804,83,13413,14336,0,3,138
56980825,6972.0,129.02065,1834,83,13162,14336,0,3,138
61983499,7531.9824,127.57307,1983,91,10699,14336,0,3,138
63984125,7784.0,127.5205,2048,95,11794,14336,0,3,138
66985180,8141.7266,127.13061,2139,109,9758,14336,0,3,138
74988730,9094.227,126.22846,2399,145,13442,14336,0,3,138
75989219,9220.053,126.22211,2438,148,10576,14336,0,3,138
76989254,9352.0,126.29936,2467,158,9487,14336,0,3,138
79991209,9739.133,126.40304,2563,161,9484,14336,0,3,138
80991829,9875.932,126.535225,2592,161,9542,14336,0,3,138
82992999,10143.542,126.71501,2671,169,7332,14336,0,3,138
84993470,10416.0,126.94619,2734,169,9451,14336,0,3,138
87995425,10815.279,127.16009,2849,177,12668,14336,0,3,138
88995553,10955.957,127.31699,2888,181,10013,14336,0,3,138
90996516,11214.0,127.35432,2959,181,11883,14336,0,3,138
91997239,11319.163,127.10425,2993,185,12778,14336,0,3,138
92998259,11430.689,126.92967,3025,195,13062,14336,0,3,138
93998294,11564.0,126.999695,3066,199,13696,14336,0,3,138
97000083,11976.059,127.32751,3170,200,10088,14336,0,3,138
99000903,12231.599,127.335625,3240,201,13327,14336,0,3,138
104003265,12894.0,127.58719,3419,201,10898,14336,0,3,138
106004697,13160.0,127.69045,3498,201,8850,14336,0,3,138
118010956,14608.946,126.95924,3880,234,14256,14336,0,3,138
124013852,15310.313,126.45743,4076,238,9610,14336,0,3,138
130017783,15988.0,125.81564,4238,245,13821,14336,0,3,138
132018601,16240.0,125.8177,4301,246,14131,14336,0,3,138
135020117,16542.184,125.24636,4383,246,14197,14336,0,3,138
137021396,16786.0,125.19538,4453,246,9530,14336,0,3,138
140022882,17102.086,124.75996,4543,246,6724,14336,0,3,138
142024618,17326.457,124.577576,4600,250,10084,14336,0,3,138
144025910,17562.074,124.48049,4653,254,9360,14336,0,3,138
145026307,17668.0,124.34955,4682,255,14156,14336,0,3,138
148027587,18011.705,124.1462,4778,255,11490,14336,0,3,138
149028544,18137.016,124.15335,4812,255,11725,14336,0,3,138
150028805,18250.633,124.081505,4846,255,10078,14336,0,3,138
152029961,18460.635,123.82457,4902,259,10042,14336,0,3,138
153030478,18592.0,123.87439,4935,259,10278,14336,0,3,138
155031874,18823.287,123.765015,4997,259,7781,14336,0,3,138
156032583,18908.277,123.51117,5021,259,9241,14336,0,3,138
158033542,19124.0,123.308586,5087,259,13472,14336,0,3,138
159034068,19250.0,123.32541,5120,259,13575,14336,0,3,138
162035626,19600.0,123.19864,5209,270,10248,14336,0,3,138
165037397,19908.0,122.81729,5288,279,14199,14336,0,3,138
167038460,20166.156,122.8928,5357,283,12710,14336,0,3,138
169040035,20392.912,122.77707,5418,284,9899,14336,0,3,138
174043049,21000.0,122.735176,5575,296,12591,14336,0,3,138
177044517,21399.941,122.916435,5680,311,6894,14336,0,3,138
178045152,21526.527,122.93694,5715,311,12119,14336,0,3,138
180045941,21751.453,122.81811,5767,313,10568,14336,0,3,138
181046498,21872.266,122.806465,5795,313,13518,14336,0,3,138
185048828,22330.0,122.62098,5909,316,9795,14336,0,3,138
186049936,22456.0,122.63869,5938,316,10894,14336,0,3,138
187050435,22582.0,122.656624,5970,316,14141,14336,0,3,138
188050984,22715.988,122.71746,6005,316,12088,14336,0,3,138
190052298,22968.242,122.753044,6061,316,9049,14336,0,3,138
191052775,23099.986,122.800545,6092,316,8482,14336,0,3,138
192053412,23226.0,122.81712,6120,316,9185,14336,0,3,138
193053493,23358.729,122.869194,6157,317,13853,14336,0,3,138
194054578,23484.584,122.884125,6193,317,8090,14336,0,3,138
200058152,24242.102,122.984436,6394,321,10966,14336,0,3,138
201058649,24368.094,122.99931,6430,328,14046,14336,0,3,138
204060179,24744.254,123.03399,6537,331,13974,14336,0,3,138
205060834,24868.797,123.04105,6568,331,10046,14336,0,3,138
206061125,24997.682,123.06965,6600,331,11906,14336,0,3,138
207062146,25130.0,123.11434,6634,331,9904,14336,0,3,138
208062863,25264.168,123.1678,6663,331,11985,14336,0,3,138
209063478,25396.0,123.20947,6700,331,7661,14336,0,3,138
210064431,25529.707,123.25958,6736,337,8750,14336,0,3,138
211064670,25662.0,123.30286,6761,337,7312,14336,0,3,138
212065319,25788.0,123.31538,6793,340,9429,14336,0,3,138
215066558,26161.746,123.33256,6880,354,11990,14336,0,3,138
217067648,26418.0,123.37671,6962,356,11857,14336,0,3,138
218068269,26551.902,123.425285,6999,356,8285,14336,0,3,138
219069106,26664.707,123.37566,7022,356,12141,14336,0,3,138
223072071,27174.0,123.44574,7144,357,12354,14336,0,3,138
224072361,27300.0,123.45712,7173,357,12308,14336,0,3,138
225072383,27434.086,123.50496,7207,357,12312,14336,0,3,138
226073708,27546.18,123.45309,7234,357,12769,14336,0,3,138
227073944,27671.963,123.463356,7271,357,10292,14336,0,3,138
229075693,27888.0,123.3258,7328,361,14169,14336,0,3,138
231076593,28098.0,123.16465,7385,366,10405,14336,0,3,138
232076757,28224.0,123.17694,7428,370,14202,14336,0,3,138
233077583,28329.816,123.10106,7464,396,9696,14336,0,3,138
239081081,29002.834,122.82148,7633,407,10714,14336,0,3,138
242083442,29366.137,122.79869,7730,417,7966,14336,0,3,138
243084051,29484.0,122.777824,7760,427,9858,14336,0,3,138
244084094,29590.766,122.7114,7791,439,12098,14336,0,3,138
