timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
2534640,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3035530,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3537516,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4042513,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5567678,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6076454,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8107134,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8614472,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9124490,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9635290,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10532893,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11035373,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11541657,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12554000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13062472,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13567288,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14571564,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15575318,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16589336,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17091307,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18613599,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19116777,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19625337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20137147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21149350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21649946,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22654907,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23160301,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24171364,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25189629,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26088536,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27611409,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28617744,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29127329,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29629325,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30644451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31154587,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31658453,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33183376,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33693053,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35274698,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35777337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36281324,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36786447,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37797334,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38806403,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39308289,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39819296,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40322134,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41342578,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41852768,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43870505,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44381344,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49949293,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54994847,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56520801,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57030414,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57536336,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58041278,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59062473,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59568496,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60587668,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61594632,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62096446,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63618373,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64627955,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66665598,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67176319,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67682486,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68190355,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70208293,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70710629,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71221570,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72229579,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73249142,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74263344,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74771402,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75295346,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75804410,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76307329,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77824485,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78841159,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79341292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80357704,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80857870,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81359351,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81869296,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82372428,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83883547,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84385054,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84885347,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85389336,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86911314,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87419378,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87929733,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88429907,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88929930,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89432302,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90447552,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92473796,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95311289,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96822456,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97327478,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97835325,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98335355,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98843312,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101372119,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102877345,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103387572,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104389339,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106406364,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107420289,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107922395,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108426027,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108932533,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109440817,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112973336,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113985287,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118008300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118518402,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119529316,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120535291,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121037335,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122045344,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122555395,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123058345,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123565294,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124067337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124567466,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125070499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126090408,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127098640,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128112522,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128613631,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129122397,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129622466,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131649917,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132669671,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134183765,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135695548,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136202688,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138232745,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139233119,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140250121,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141764174,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144293290,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146324439,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147340293,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148855345,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149366354,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151892478,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152906790,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156454544,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156957094,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157965293,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158970528,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159980294,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160481318,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160990347,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161501005,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162002468,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163513342,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164017242,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164522399,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165032758,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166544810,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168063630,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168573954,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169074130,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170597609,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173125292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174127291,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174634672,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175138419,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175639351,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177150794,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178165265,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179177290,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179681299,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180186736,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180698004,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181199293,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183224457,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183733525,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184746515,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186775290,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187781300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188791420,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189792559,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190805337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191315478,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191820291,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192330599,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195350429,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197884410,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198393287,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199910524,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200413300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200923290,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201424450,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202439947,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204955451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205463304,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206483396,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207495298,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208504758,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209006396,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210517292,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213033295,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215063329,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215570348,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216080338,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218604498,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220120364,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221135502,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221637290,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222137324,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222637784,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223658619,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224158857,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224667298,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225169518,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226176322,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227697642,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228199216,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229708301,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232241598,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232939455,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233448061,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233951294,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234451379,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236464453,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236967324,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237982618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238997354,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239506499,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240013363,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241529356,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244062476,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
